x
AT3G42170
AT3G43540
AT3G42790
AT3G43980
AT3G44100
AT3G44340
AT3G44430
AT3G30390
AT3G44890
AT3G45310
AT3G28940
AT3G45050
AT3G45780
AT3G46040
AT3G43600
AT3G46060
AT3G29160
AT3G45770
AT3G46000
AT3G47070
AT3G32980
AT3G44310
AT3G44150
AT3G46830
AT4G29040
AT3G47370
AT2G27730
AT3G43590
AT3G28710
AT5G26710
AT4G27585
AT4G14800
AT1G09970
AT3G27850
AT4G08350
AT2G04390
AT3G28970
AT4G02520
AT3G43670
AT1G06290
AT2G43570
AT3G44200
AT1G79210
AT2G26560
AT1G21380
AT3G13410
AT3G46630
AT3G54130
AT1G45000
AT3G29290
AT5G62640
AT5G23540
AT5G53770
AT3G27740
AT5G64960
AT2G14120
AT5G54760
AT5G43330
AT3G28715
AT3G16190
AT3G42150
AT1G25275
AT5G59460
AT2G44490
AT3G47550
AT4G23100
AT3G27570
AT5G53560
AT3G02740
AT3G27390
AT1G02920
AT5G44720
AT5G66540
AT3G47520
AT5G14250
AT3G21055
AT4G38930
AT3G47450
AT3G45030
AT5G56860
AT5G14030
AT4G31300
AT3G43240
AT1G03360
AT4G37910
AT2G26355
AT5G60850
AT1G25350
AT3G51260
AT5G64610
AT4G24820
AT5G52650
AT2G33210
AT2G43650
AT4G31810
AT2G38470
AT3G18890
AT3G04120
AT2G05440
AT5G53880
AT1G53750
AT3G55620
AT1G52930
AT4G05160
AT1G08410
AT4G19880
AT5G42150
AT3G27020
AT3G14600
AT3G04520
AT3G55270
AT3G48000
AT5G34850
AT3G29360
AT2G47580
AT1G30580
AT2G04520
AT5G57100
AT4G34180
AT3G16200
AT5G18480
AT5G50410
AT1G29320
AT3G57870
AT1G12830
AT3G27380
AT2G05510
AT5G59160
AT5G42090
AT5G46550
AT4G25900
AT3G46740
AT3G44110
AT5G47455
AT3G48060
AT2G04842
AT3G55220
AT3G22950
AT5G48020
AT2G22540
AT2G34357
AT5G64680
AT3G22660
AT3G59820
AT3G54640
AT3G21160
AT5G55130
AT2G14720
AT2G26975
AT2G31880
AT1G67680
AT3G12270
AT3G46820
AT1G04170
AT2G05620
AT2G05170
AT5G51230
AT2G19430
AT1G32230
AT1G75850
AT1G77120
AT3G18430
AT3G28910
AT4G24270
AT2G03510
AT4G01560
AT3G60950
AT3G62580
AT5G06120
AT5G66450
AT2G30970
AT5G49580
AT5G65310
AT3G53020
AT1G18480
AT5G64310
AT4G24690
AT5G53650
AT5G58260
AT1G07670
AT2G17130
AT5G53170
AT3G52300
AT2G43510
AT3G28480
AT4G02930
AT5G64420
AT5G56760
AT5G53000
AT2G07360
AT3G45640
AT2G33120
AT2G40730
AT5G52520
AT2G45510
AT5G66510
AT1G65820
AT3G28950
AT1G19020
AT5G37350
AT4G20780
AT1G77030
AT3G27340
AT3G51510
AT3G55470
AT2G17120
AT2G21270
AT4G05410
AT3G59640
AT5G44100
AT3G61140
AT4G28510
AT2G21290
AT2G04360
AT5G59140
AT1G10410
AT5G63370
AT5G26830
AT5G66530
AT3G53180
AT2G20530
AT4G18197
AT2G20140
AT2G26910
AT3G43720
AT5G22350
AT1G66070
AT2G04305
AT5G27640
AT4G06634
AT1G28510
AT5G66140
AT1G27390
AT5G56600
AT1G15860
AT1G69070
AT5G23880
AT5G55200
AT2G04790
AT5G20950
AT1G22840
AT2G20060
AT3G06810
AT5G57990
AT5G67370
AT5G45190
AT3G13720
AT5G65940
AT1G54080
AT5G03730
AT5G40930
AT5G65050
AT1G66670
AT1G69410
AT2G18850
AT3G10380
AT1G68650
AT1G80750
AT2G09990
AT2G39795
AT5G14710
AT1G22300
AT1G55670
AT4G11650
AT1G22970
AT3G21215
AT1G07220
AT3G14595
AT5G56630
AT4G32720
AT5G10780
AT3G15640
AT5G18310
AT4G04920
AT2G04630
AT3G62940
AT5G51120
AT5G62090
AT3G22980
AT1G45332
AT3G17020
AT3G06860
AT3G15660
AT3G51430
AT1G66580
AT1G79550
AT5G38890
AT5G14270
AT5G35680
AT2G40360
AT5G58140
AT1G77140
AT1G18850
AT3G13330
AT3G48170
AT3G56490
AT3G51800
AT4G23470
AT3G11964
AT3G48500
AT4G31160
AT3G47930
AT5G65360
AT5G20660
AT3G21540
AT3G28720
AT1G72680
AT5G64370
AT5G19550
AT5G59500
AT5G59250
AT3G50685
AT2G05540
AT3G27830
AT3G49000
AT2G26780
AT5G52070
AT3G29185
AT3G04710
AT2G18330
AT5G60640
AT2G33730
AT2G43350
AT1G15440
AT4G05390
AT1G66700
AT2G21250
AT2G28660
AT5G63220
AT1G79150
AT3G28050
AT5G46020
AT3G16810
AT2G44100
AT1G33970
AT2G32850
AT2G30060
AT4G15770
