Trait,Cat
varmx_PC1_gc_SDSD,Shape
varmx_PC2_gc_SDSD,Shape
varmx_PC3_gc_SDSD,Shape
varmx_PC1_gc_LDLD,Shape
varmx_PC2_gc_LDLD,Shape
varmx_PC3_gc_LDLD,Shape
varmx_PC1_gc_SDLD_vel,Shape
varmx_PC2_gc_SDLD_vel,Shape
varmx_PC3_gc_SDLD_vel,Shape
varmx_PC1_gc_SDSD_vel,Shape
varmx_PC2_gc_SDSD_vel,Shape
varmx_PC3_gc_SDSD_vel,Shape
varmx_PC1_gc_LDLD_vel,Shape
varmx_PC2_gc_LDLD_vel,Shape
varmx_PC3_gc_LDLD_vel,Shape
varmx_PC1_gc_SDLD_acc,Shape
varmx_PC2_gc_SDLD_acc,Shape
varmx_PC3_gc_SDLD_acc,Shape
varmx_PC1_gc_SDSD_acc,Shape
varmx_PC2_gc_SDSD_acc,Shape
varmx_PC3_gc_SDSD_acc,Shape
varmx_PC1_gc_LDLD_acc,Shape
varmx_PC2_gc_LDLD_acc,Shape
varmx_PC3_gc_LDLD_acc,Shape
varmx_PC1_mean_dist_SDLD_ori,Spread_of_Shape
varmx_PC2_mean_dist_SDLD_ori,Spread_of_Shape
varmx_PC3_mean_dist_SDLD_ori,Spread_of_Shape
varmx_PC1_mean_dist_SDSD_ori,Spread_of_Shape
varmx_PC2_mean_dist_SDSD_ori,Spread_of_Shape
varmx_PC3_mean_dist_SDSD_ori,Spread_of_Shape
varmx_PC1_mean_dist_LDLD_ori,Spread_of_Shape
varmx_PC2_mean_dist_LDLD_ori,Spread_of_Shape
varmx_PC3_mean_dist_LDLD_ori,Spread_of_Shape
varmx_PC1_mean_dist_SDLD_vel,Spread_of_Shape
varmx_PC2_mean_dist_SDLD_vel,Spread_of_Shape
varmx_PC3_mean_dist_SDLD_vel,Spread_of_Shape
varmx_PC1_mean_dist_SDSD_vel,Spread_of_Shape
varmx_PC2_mean_dist_SDSD_vel,Spread_of_Shape
varmx_PC3_mean_dist_SDSD_vel,Spread_of_Shape
varmx_PC1_mean_dist_LDLD_vel,Spread_of_Shape
varmx_PC2_mean_dist_LDLD_vel,Spread_of_Shape
varmx_PC3_mean_dist_LDLD_vel,Spread_of_Shape
varmx_PC1_mean_dist_SDLD_acc,Spread_of_Shape
varmx_PC2_mean_dist_SDLD_acc,Spread_of_Shape
varmx_PC3_mean_dist_SDLD_acc,Spread_of_Shape
varmx_PC1_mean_dist_SDSD_acc,Spread_of_Shape
varmx_PC2_mean_dist_SDSD_acc,Spread_of_Shape
varmx_PC3_mean_dist_SDSD_acc,Spread_of_Shape
varmx_PC1_mean_dist_LDLD_acc,Spread_of_Shape
varmx_PC2_mean_dist_LDLD_acc,Spread_of_Shape
varmx_PC3_mean_dist_LDLD_acc,Spread_of_Shape
