Trait,Cat
diff_SDLD_acc_centerdist,Spread_of_Shift
diff_SDSD_acc_centerdist,Spread_of_Shift
diff_LDLD_acc_centerdist,Spread_of_Shift
ratio_SDLD_ori_centerdist,Spread_of_Shift
ratio_SDSD_ori_centerdist,Spread_of_Shift
ratio_LDLD_ori_centerdist,Spread_of_Shift
ratio_SDLD_vel_centerdist,Spread_of_Shift
ratio_SDSD_vel_centerdist,Spread_of_Shift
ratio_LDLD_vel_centerdist,Spread_of_Shift
ratio_SDLD_acc_centerdist,Spread_of_Shift
ratio_SDSD_acc_centerdist,Spread_of_Shift
ratio_LDLD_acc_centerdist,Spread_of_Shift
change_in_mean_dist_prepost_SDLD_ori_PC2,Spread_of_Shift
change_in_mean_dist_prepost_SDLD_ori_PC3,Spread_of_Shift
change_in_mean_dist_prepost_SDSD_ori_PC2,Spread_of_Shift
change_in_mean_dist_prepost_SDSD_ori_PC3,Spread_of_Shift
change_in_mean_dist_prepost_LDLD_ori_PC2,Spread_of_Shift
change_in_mean_dist_prepost_LDLD_ori_PC3,Spread_of_Shift
change_in_mean_dist_prepost_SDLD_vel_PC2,Spread_of_Shift
change_in_mean_dist_prepost_SDLD_vel_PC3,Spread_of_Shift
change_in_mean_dist_prepost_SDSD_vel_PC2,Spread_of_Shift
change_in_mean_dist_prepost_SDSD_vel_PC3,Spread_of_Shift
change_in_mean_dist_prepost_LDLD_vel_PC2,Spread_of_Shift
change_in_mean_dist_prepost_LDLD_vel_PC3,Spread_of_Shift
change_in_mean_dist_prepost_SDLD_acc_PC2,Spread_of_Shift
change_in_mean_dist_prepost_SDLD_acc_PC3,Spread_of_Shift
change_in_mean_dist_prepost_SDSD_acc_PC2,Spread_of_Shift
change_in_mean_dist_prepost_SDSD_acc_PC3,Spread_of_Shift
change_in_mean_dist_prepost_LDLD_acc_PC2,Spread_of_Shift
change_in_mean_dist_prepost_LDLD_acc_PC3,Spread_of_Shift
change_in_mean_total_euclid_ori_SDLD,Spread_of_Shift
change_in_mean_total_euclid_ori_SDSD,Spread_of_Shift
change_in_mean_total_euclid_ori_LDLD,Spread_of_Shift
change_in_se_dist_prepost_SDLD_ori_PC1,Spread_of_Shift
change_in_se_dist_prepost_SDLD_ori_PC2,Spread_of_Shift
change_in_se_dist_prepost_SDLD_ori_PC3,Spread_of_Shift
change_in_se_dist_prepost_SDSD_ori_PC1,Spread_of_Shift
change_in_se_dist_prepost_SDSD_ori_PC2,Spread_of_Shift
change_in_se_dist_prepost_SDSD_ori_PC3,Spread_of_Shift
change_in_se_dist_prepost_LDLD_ori_PC1,Spread_of_Shift
change_in_se_dist_prepost_LDLD_ori_PC2,Spread_of_Shift
change_in_se_dist_prepost_LDLD_ori_PC3,Spread_of_Shift
change_in_se_dist_prepost_SDLD_vel_PC1,Spread_of_Shift
change_in_se_dist_prepost_SDLD_vel_PC2,Spread_of_Shift
change_in_se_dist_prepost_SDLD_vel_PC3,Spread_of_Shift
change_in_se_dist_prepost_SDSD_vel_PC1,Spread_of_Shift
change_in_se_dist_prepost_SDSD_vel_PC2,Spread_of_Shift
change_in_se_dist_prepost_SDSD_vel_PC3,Spread_of_Shift
change_in_se_dist_prepost_LDLD_vel_PC1,Spread_of_Shift
change_in_se_dist_prepost_LDLD_vel_PC2,Spread_of_Shift
change_in_se_dist_prepost_LDLD_vel_PC3,Spread_of_Shift
change_in_se_dist_prepost_SDLD_acc_PC1,Spread_of_Shift
change_in_se_dist_prepost_SDLD_acc_PC2,Spread_of_Shift
change_in_se_dist_prepost_SDLD_acc_PC3,Spread_of_Shift
change_in_se_dist_prepost_SDSD_acc_PC1,Spread_of_Shift
change_in_se_dist_prepost_SDSD_acc_PC2,Spread_of_Shift
change_in_se_dist_prepost_SDSD_acc_PC3,Spread_of_Shift
change_in_se_dist_prepost_LDLD_acc_PC1,Spread_of_Shift
change_in_se_dist_prepost_LDLD_acc_PC2,Spread_of_Shift
change_in_se_dist_prepost_LDLD_acc_PC3,Spread_of_Shift
change_in_se_total_euclid_ori_SDLD,Spread_of_Shift
change_in_se_total_euclid_ori_SDSD,Spread_of_Shift
change_in_se_total_euclid_ori_LDLD,Spread_of_Shift
sd_PC1_SDLDpre,Spread_of_Shape
sd_PC1_SDLDpost,Spread_of_Shape
sd_PC1_SDSDpre,Spread_of_Shape
sd_PC1_SDSDpost,Spread_of_Shape
sd_PC2_SDLDpre,Spread_of_Shape
sd_PC2_SDLDpost,Spread_of_Shape
sd_PC2_SDSDpre,Spread_of_Shape
sd_PC2_SDSDpost,Spread_of_Shape
sd_PC1_SDLDpre_vel,Spread_of_Shape
sd_PC1_SDLDpost_vel,Spread_of_Shape
sd_PC1_SDSDpre_vel,Spread_of_Shape
sd_PC1_SDSDpost_vel,Spread_of_Shape
sd_PC2_SDLDpre_vel,Spread_of_Shape
sd_PC2_SDLDpost_vel,Spread_of_Shape
sd_PC2_SDSDpre_vel,Spread_of_Shape
sd_PC2_SDSDpost_vel,Spread_of_Shape
sd_PC1_SDLDpre_acc,Spread_of_Shape
sd_PC1_SDLDpost_acc,Spread_of_Shape
sd_PC1_SDSDpre_acc,Spread_of_Shape
sd_PC1_SDSDpost_acc,Spread_of_Shape
sd_PC2_SDLDpre_acc,Spread_of_Shape
sd_PC2_SDLDpost_acc,Spread_of_Shape
sd_PC2_SDSDpre_acc,Spread_of_Shape
sd_PC2_SDSDpost_acc,Spread_of_Shape
PC1_movement_ori_sd_SDLD,Spread_of_Shift
PC2_movement_ori_sd_SDLD,Spread_of_Shift
PC1_movement_ori_sd_SDSD,Spread_of_Shift
PC2_movement_ori_sd_SDSD,Spread_of_Shift
PC1_movement_vel_sd_SDLD,Spread_of_Shift
PC2_movement_vel_sd_SDLD,Spread_of_Shift
PC1_movement_vel_sd_SDSD,Spread_of_Shift
PC2_movement_vel_sd_SDSD,Spread_of_Shift
PC1_movement_acc_sd_SDLD,Spread_of_Shift
PC2_movement_acc_sd_SDLD,Spread_of_Shift
PC1_movement_acc_sd_SDSD,Spread_of_Shift
PC2_movement_acc_sd_SDSD,Spread_of_Shift
PC1_movement_ori_sd_absSDLD,Spread_of_Shift
PC2_movement_ori_sd_absSDLD,Spread_of_Shift
PC1_movement_ori_sd_absSDSD,Spread_of_Shift
PC2_movement_ori_sd_absSDSD,Spread_of_Shift
PC1_movement_vel_sd_absSDLD,Spread_of_Shift
PC2_movement_vel_sd_absSDLD,Spread_of_Shift
PC1_movement_vel_sd_absSDSD,Spread_of_Shift
PC2_movement_vel_sd_absSDSD,Spread_of_Shift
PC1_movement_acc_sd_absSDLD,Spread_of_Shift
PC2_movement_acc_sd_absSDLD,Spread_of_Shift
PC1_movement_acc_sd_absSDSD,Spread_of_Shift
PC2_movement_acc_sd_absSDSD,Spread_of_Shift
distances_ori_sdSDLD,Spread_of_Shift
distances_vel_sdSDLD,Spread_of_Shift
distances_acc_sdSDLD,Spread_of_Shift
distances_ori_sdSDSD,Spread_of_Shift
distances_vel_sdSDSD,Spread_of_Shift
distances_acc_sdSDSD,Spread_of_Shift
sd_PC1_LDLDpre,Spread_of_Shape
sd_PC1_LDLDpost,Spread_of_Shape
sd_PC2_LDLDpre,Spread_of_Shape
sd_PC2_LDLDpost,Spread_of_Shape
sd_PC1_LDLDpre_vel,Spread_of_Shape
sd_PC1_LDLDpost_vel,Spread_of_Shape
sd_PC2_LDLDpre_vel,Spread_of_Shape
sd_PC2_LDLDpost_vel,Spread_of_Shape
sd_PC1_LDLDpre_acc,Spread_of_Shape
sd_PC1_LDLDpost_acc,Spread_of_Shape
sd_PC2_LDLDpre_acc,Spread_of_Shape
sd_PC2_LDLDpost_acc,Spread_of_Shape
PC1_movement_acc_sd_LDLD,Spread_of_Shift
PC2_movement_acc_sd_LDLD,Spread_of_Shift
PC1_movement_ori_sd_LDLD,Spread_of_Shift
PC2_movement_ori_sd_LDLD,Spread_of_Shift
PC1_movement_vel_sd_LDLD,Spread_of_Shift
PC2_movement_vel_sd_LDLD,Spread_of_Shift
PC1_movement_ori_sd_absLDLD,Spread_of_Shift
PC2_movement_ori_sd_absLDLD,Spread_of_Shift
PC1_movement_vel_sd_absLDLD,Spread_of_Shift
PC2_movement_vel_sd_absLDLD,Spread_of_Shift
PC1_movement_acc_sd_absLDLD,Spread_of_Shift
PC2_movement_acc_sd_absLDLD,Spread_of_Shift
distances_ori_sdLDLD,Spread_of_Shift
distances_vel_sdLDLD,Spread_of_Shift
distances_acc_sdLDLD,Spread_of_Shift
varmx_sd_PC1_SDLDpre,Spread_of_Shape 
varmx_sd_PC1_SDLDpost,Spread_of_Shape 
varmx_sd_PC1_SDSDpre,Spread_of_Shape 
varmx_sd_PC1_SDSDpost,Spread_of_Shape 
varmx_sd_PC2_SDLDpre,Spread_of_Shape 
varmx_sd_PC2_SDLDpost,Spread_of_Shape 
varmx_sd_PC2_SDSDpre,Spread_of_Shape 
varmx_sd_PC2_SDSDpost,Spread_of_Shape 
varmx_sd_PC1_SDLDpre_vel,Spread_of_Shape 
varmx_sd_PC1_SDLDpost_vel,Spread_of_Shape 
varmx_sd_PC1_SDSDpre_vel,Spread_of_Shape 
varmx_sd_PC1_SDSDpost_vel,Spread_of_Shape 
varmx_sd_PC2_SDLDpre_vel,Spread_of_Shape 
varmx_sd_PC2_SDLDpost_vel,Spread_of_Shape 
varmx_sd_PC2_SDSDpre_vel,Spread_of_Shape 
varmx_sd_PC2_SDSDpost_vel,Spread_of_Shape 
varmx_sd_PC1_SDLDpre_acc,Spread_of_Shape 
varmx_sd_PC1_SDLDpost_acc,Spread_of_Shape 
varmx_sd_PC1_SDSDpre_acc,Spread_of_Shape 
varmx_sd_PC1_SDSDpost_acc,Spread_of_Shape 
varmx_sd_PC2_SDLDpre_acc,Spread_of_Shape 
varmx_sd_PC2_SDLDpost_acc,Spread_of_Shape 
varmx_sd_PC2_SDSDpre_acc,Spread_of_Shape 
varmx_sd_PC2_SDSDpost_acc,Spread_of_Shape 
varmx_PC1_movement_ori_sd_SDLD,Spread_of_Shift
varmx_.PC2_movement_ori_sd_SDLD,Spread_of_Shift
varmx_.PC1_movement_ori_sd_SDSD,Spread_of_Shift
varmx_PC2_movement_ori_sd_SDSD,Spread_of_Shift
varmx_PC1_movement_vel_sd_SDLD,Spread_of_Shift
varmx_PC2_movement_vel_sd_SDLD,Spread_of_Shift
varmx_PC1_movement_vel_sd_SDSD,Spread_of_Shift
varmx_PC2_movement_vel_sd_SDSD,Spread_of_Shift
varmx_PC1_movement_acc_sd_SDLD,Spread_of_Shift
varmx_PC2_movement_acc_sd_SDLD,Spread_of_Shift
varmx_PC1_movement_acc_sd_SDSD,Spread_of_Shift
varmx_PC2_movement_acc_sd_SDSD,Spread_of_Shift
varmx_PC1_movement_ori_sd_absSDLD,Spread_of_Shift
varmx_PC2_movement_ori_sd_absSDLD,Spread_of_Shift
varmx_PC1_movement_ori_sd_absSDSD,Spread_of_Shift
varmx_PC2_movement_ori_sd_absSDSD,Spread_of_Shift
varmx_PC1_movement_vel_sd_absSDLD,Spread_of_Shift
varmx_PC2_movement_vel_sd_absSDLD,Spread_of_Shift
varmx_PC1_movement_vel_sd_absSDSD,Spread_of_Shift
varmx_PC2_movement_vel_sd_absSDSD,Spread_of_Shift
varmx_PC1_movement_acc_sd_absSDLD,Spread_of_Shift
varmx_PC2_movement_acc_sd_absSDLD,Spread_of_Shift
varmx_PC1_movement_acc_sd_absSDSD,Spread_of_Shift
varmx_PC2_movement_acc_sd_absSDSD,Spread_of_Shift
varmx_distances_ori_sdSDLD,Spread_of_Shape 
varmx_distances_vel_sdSDLD,Spread_of_Shape 
varmx_distances_acc_sdSDLD,Spread_of_Shape 
varmx_distances_ori_sdSDSD,Spread_of_Shape 
varmx_distances_vel_sdSDSD,Spread_of_Shape 
varmx_distances_acc_sdSDSD,Spread_of_Shape 
varmx_sd_PC1_LDLDpre,Spread_of_Shape 
varmx_sd_PC1_LDLDpost,Spread_of_Shape 
varmx_sd_PC2_LDLDpre,Spread_of_Shape 
varmx_sd_PC2_LDLDpost,Spread_of_Shape 
varmx_sd_PC1_LDLDpre_vel,Spread_of_Shape 
varmx_sd_PC1_LDLDpost_vel,Spread_of_Shape 
varmx_sd_PC2_LDLDpre_vel,Spread_of_Shape 
varmx_sd_PC2_LDLDpost_vel,Spread_of_Shape 
varmx_sd_PC1_LDLDpre_acc,Spread_of_Shape 
varmx_sd_PC1_LDLDpost_acc,Spread_of_Shape 
varmx_sd_PC2_LDLDpre_acc,Spread_of_Shape 
varmx_sd_PC2_LDLDpost_acc,Spread_of_Shape 
varmx_PC1_movement_acc_sd_LDLD,Spread_of_Shift
varmx_PC2_movement_acc_sd_LDLD,Spread_of_Shift
varmx_PC1_movement_ori_sd_LDLD,Spread_of_Shift
varmx_PC2_movement_ori_sd_LDLD,Spread_of_Shift
varmx_PC1_movement_vel_sd_LDLD,Spread_of_Shift
varmx_PC2_movement_vel_sd_LDLD,Spread_of_Shift
varmx_PC1_movement_ori_sd_absLDLD,Spread_of_Shift
varmx_PC2_movement_ori_sd_absLDLD,Spread_of_Shift
varmx_PC1_movement_vel_sd_absLDLD,Spread_of_Shift
varmx_PC2_movement_vel_sd_absLDLD,Spread_of_Shift
varmx_PC1_movement_acc_sd_absLDLD,Spread_of_Shift
varmx_PC2_movement_acc_sd_absLDLD,Spread_of_Shift
varmx_distances_ori_sdLDLD,Spread_of_Shape
varmx_distances_vel_sdLDLD,Spread_of_Shape
varmx_distances_acc_sdLDLD,Spread_of_Shape
Amp_oriSDLD,Shape
Phase_oriSDLD,Phase_Shift
RSQR_oriSDLD,Spread_of_Shift
Amp_velSDLD,Shape
Phase_velSDLD,Phase_Shift
RSQR_velSDLD,Spread_of_Shift
Amp_accSDLD,Shape
Phase_accSDLD,Phase_Shift
RSQR_accSDLD,Spread_of_Shift
Amp_oriSDSD,Shape
Phase_oriSDSD,Phase_Shift
RSQR_oriSDSD,Spread_of_Shift
Amp_velSDSD,Shape
Phase_velSDSD,Phase_Shift
RSQR_velSDSD,Spread_of_Shift
Amp_accSDSD,Shape
Phase_accSDSD,Phase_Shift
RSQR_accSDSD,Spread_of_Shift
Amp_oriLDLD,Shape
Phase_oriLDLD,Phase_Shift
RSQR_oriLDLD,Spread_of_Shift
Amp_velLDLD,Shape
Phase_velLDLD,Phase_Shift
RSQR_velLDLD,Spread_of_Shift
Amp_accLDLD,Shape
Phase_accLDLD,Phase_Shift
RSQR_accLDLD,Spread_of_Shift
Amp_diff_oriSDLD_SDSD,Spread_of_Shape
Phase_diff_oriSDLD_SDSD,Spread_of_Shift
RSQR_diff_oriSDLD_SDSD,Spread_of_Shift
Amp_diff_oriSDLD_LDLD,Spread_of_Shape
Phase_diff_oriSDLD_LDLD,Spread_of_Shift
RSQR_diff_oriSDLD_LDLD,Spread_of_Shift
Amp_diff_velSDLD_SDSD,Spread_of_Shape
Phase_diff_velSDLD_SDSD,Spread_of_Shift
RSQR_diff_velSDLD_SDSD,Spread_of_Shift
Amp_diff_velSDLD_LDLD,Spread_of_Shape
Phase_diff_velSDLD_LDLD,Spread_of_Shift
RSQR_diff_velSDLD_LDLD,Spread_of_Shift
Amp_diff_accSDLD_SDSD,Spread_of_Shape
Phase_diff_accSDLD_SDSD,Spread_of_Shift
RSQR_diff_accSDLD_SDSD,Spread_of_Shift
Amp_diff_accSDLD_LDLD,Spread_of_Shape
Phase_diff_accSDLD_LDLD,Spread_of_Shift
RSQR_diff_accSDLD_LDLD,Spread_of_Shift
dtw_norm_dist_meanSDLD,Spread_of_Shift
logdtw_norm_dist_meanSDLD,Spread_of_Shift
dtw_norm_dist_sdSDLD,Spread_of_Shift
dtw_norm_dist_meanSDSD,Spread_of_Shift
logdtw_norm_dist_meanSDSD,Spread_of_Shift
dtw_norm_dist_sdSDSD,Spread_of_Shift
dtw_norm_dist_meanLDLD,Spread_of_Shift
logdtw_norm_dist_meanLDLD,Spread_of_Shift
dtw_norm_dist_sdLDLD,Spread_of_Shift
gc_warp_PC1_oriSDLD,Phase_Shift
gc_warp_PC2_oriSDLD,Phase_Shift
gc_warp_PC3_oriSDLD,Phase_Shift
gc_warp_PC1_oriSDSD,Phase_Shift
gc_warp_PC2_oriSDSD,Phase_Shift
gc_warp_PC3_oriSDSD,Phase_Shift
gc_warp_PC1_oriLDLD,Phase_Shift
gc_warp_PC2_oriLDLD,Phase_Shift
gc_warp_PC3_oriLDLD,Phase_Shift
gc_warp_PC1_velSDLD,Phase_Shift
gc_warp_PC2_velSDLD,Phase_Shift
gc_warp_PC3_velSDLD,Phase_Shift
gc_warp_PC1_velSDSD,Phase_Shift
gc_warp_PC2_velSDSD,Phase_Shift
gc_warp_PC3_velSDSD,Phase_Shift
gc_warp_PC1_velLDLD,Phase_Shift
gc_warp_PC2_velLDLD,Phase_Shift
gc_warp_PC3_velLDLD,Phase_Shift
gc_warp_PC1_accSDLD,Phase_Shift
gc_warp_PC2_accSDLD,Phase_Shift
gc_warp_PC3_accSDLD,Phase_Shift
gc_warp_PC1_accSDSD,Phase_Shift
gc_warp_PC2_accSDSD,Phase_Shift
gc_warp_PC3_accSDSD,Phase_Shift
gc_warp_PC1_accLDLD,Phase_Shift
gc_warp_PC2_accLDLD,Phase_Shift
gc_warp_PC3_accLDLD,Phase_Shift
meandist_warp_PC1_oriSDLD,Spread_of_Shift
meandist_warp_PC2_oriSDLD,Spread_of_Shift
meandist_warp_PC3_oriSDLD,Spread_of_Shift
meandist_warp_PC1_oriSDSD,Spread_of_Shift
meandist_warp_PC2_oriSDSD,Spread_of_Shift
meandist_warp_PC3_oriSDSD,Spread_of_Shift
meandist_warp_PC1_oriLDLD,Spread_of_Shift
meandist_warp_PC2_oriLDLD,Spread_of_Shift
meandist_warp_PC3_oriLDLD,Spread_of_Shift
meandist_warp_PC1_velSDLD,Spread_of_Shift
meandist_warp_PC2_velSDLD,Spread_of_Shift
meandist_warp_PC3_velSDLD,Spread_of_Shift
meandist_warp_PC1_velSDSD,Spread_of_Shift
meandist_warp_PC2_velSDSD,Spread_of_Shift
meandist_warp_PC3_velSDSD,Spread_of_Shift
meandist_warp_PC1_velLDLD,Spread_of_Shift
meandist_warp_PC2_velLDLD,Spread_of_Shift
meandist_warp_PC3_velLDLD,Spread_of_Shift
meandist_warp_PC1_accSDLD,Spread_of_Shift
meandist_warp_PC2_accSDLD,Spread_of_Shift
meandist_warp_PC3_accSDLD,Spread_of_Shift
meandist_warp_PC1_accSDSD,Spread_of_Shift
meandist_warp_PC2_accSDSD,Spread_of_Shift
meandist_warp_PC3_accSDSD,Spread_of_Shift
meandist_warp_PC1_accLDLD,Spread_of_Shift
meandist_warp_PC2_accLDLD,Spread_of_Shift
meandist_warp_PC3_accLDLD,Spread_of_Shift
sedist_warp_PC1_oriSDLD,Spread_of_Shift
sedist_warp_PC2_oriSDLD,Spread_of_Shift
sedist_warp_PC3_oriSDLD,Spread_of_Shift
sedist_warp_PC1_oriSDSD,Spread_of_Shift
sedist_warp_PC2_oriSDSD,Spread_of_Shift
sedist_warp_PC3_oriSDSD,Spread_of_Shift
sedist_warp_PC1_oriLDLD,Spread_of_Shift
sedist_warp_PC2_oriLDLD,Spread_of_Shift
sedist_warp_PC3_oriLDLD,Spread_of_Shift
sedist_warp_PC1_velSDLD,Spread_of_Shift
sedist_warp_PC2_velSDLD,Spread_of_Shift
sedist_warp_PC3_velSDLD,Spread_of_Shift
sedist_warp_PC1_velSDSD,Spread_of_Shift
sedist_warp_PC2_velSDSD,Spread_of_Shift
sedist_warp_PC3_velSDSD,Spread_of_Shift
sedist_warp_PC1_velLDLD,Spread_of_Shift
sedist_warp_PC2_velLDLD,Spread_of_Shift
sedist_warp_PC3_velLDLD,Spread_of_Shift
sedist_warp_PC1_accSDLD,Spread_of_Shift
sedist_warp_PC2_accSDLD,Spread_of_Shift
sedist_warp_PC3_accSDLD,Spread_of_Shift
sedist_warp_PC1_accSDSD,Spread_of_Shift
sedist_warp_PC2_accSDSD,Spread_of_Shift
sedist_warp_PC3_accSDSD,Spread_of_Shift
sedist_warp_PC1_accLDLD,Spread_of_Shift
sedist_warp_PC2_accLDLD,Spread_of_Shift
sedist_warp_PC3_accLDLD,Spread_of_Shift
mean_eulid_ori_total123_SDLD,Spread_of_Shift
mean_eulid_ori_total123_SDSD,Spread_of_Shift
mean_eulid_ori_total123_LDLD,Spread_of_Shift
mean_eulid_vel_total123_SDLD,Spread_of_Shift
mean_eulid_vel_total123_SDSD,Spread_of_Shift
mean_eulid_vel_total123_LDLD,Spread_of_Shift
mean_eulid_acc_total123_SDLD,Spread_of_Shift
mean_eulid_acc_total123_SDSD,Spread_of_Shift
mean_eulid_acc_total123_LDLD,Spread_of_Shift
se_eulid_ori_total123_SDLD,Spread_of_Shift
se_eulid_ori_total123_SDSD,Spread_of_Shift
se_eulid_ori_total123_LDLD,Spread_of_Shift
se_eulid_vel_total123_SDLD,Spread_of_Shift
se_eulid_vel_total123_SDSD,Spread_of_Shift
se_eulid_vel_total123_LDLD,Spread_of_Shift
se_eulid_acc_total123_SDLD,Spread_of_Shift
se_eulid_acc_total123_SDSD,Spread_of_Shift
se_eulid_acc_total123_LDLD,Spread_of_Shift
varmax_gc_warp_PC1_oriSDLD,Phase_Shift
varmx_gc_warp_PC2_oriSDLD,Phase_Shift
varmx_gc_warp_PC3_oriSDLD,Phase_Shift
varmx_gc_warp_PC1_oriSDSD,Phase_Shift
varmx_gc_warp_PC2_oriSDSD,Phase_Shift
varmx_gc_warp_PC3_oriSDSD,Phase_Shift
varmx_gc_warp_PC1_oriLDLD,Phase_Shift
varmx_gc_warp_PC2_oriLDLD,Phase_Shift
varmx_gc_warp_PC3_oriLDLD,Phase_Shift
varmx_gc_warp_PC1_velSDLD,Phase_Shift
varmx_gc_warp_PC2_velSDLD,Phase_Shift
varmx_gc_warp_PC3_velSDLD,Phase_Shift
varmx_gc_warp_PC1_velSDSD,Phase_Shift
varmx_gc_warp_PC2_velSDSD,Phase_Shift
varmx_gc_warp_PC3_velSDSD,Phase_Shift
varmx_gc_warp_PC1_velLDLD,Phase_Shift
varmx_gc_warp_PC2_velLDLD,Phase_Shift
varmx_gc_warp_PC3_velLDLD,Phase_Shift
varmx_gc_warp_PC1_accSDLD,Phase_Shift
varmx_gc_warp_PC2_accSDLD,Phase_Shift
varmx_gc_warp_PC3_accSDLD,Phase_Shift
varmx_gc_warp_PC1_accSDSD,Phase_Shift
varmx_gc_warp_PC2_accSDSD,Phase_Shift
varmx_gc_warp_PC3_accSDSD,Phase_Shift
varmx_gc_warp_PC1_accLDLD,Phase_Shift
varmx_gc_warp_PC2_accLDLD,Phase_Shift
varmx_gc_warp_PC3_accLDLD,Phase_Shift
varmx_meandist_warp_PC1_oriSDLD,Spread_of_Shift
varmx_meandist_warp_PC2_oriSDLD,Spread_of_Shift
varmx_meandist_warp_PC3_oriSDLD,Spread_of_Shift
varmx_meandist_warp_PC1_oriSDSD,Spread_of_Shift
varmx_meandist_warp_PC2_oriSDSD,Spread_of_Shift
varmx_meandist_warp_PC3_oriSDSD,Spread_of_Shift
varmx_meandist_warp_PC1_oriLDLD,Spread_of_Shift
varmx_meandist_warp_PC2_oriLDLD,Spread_of_Shift
varmx_meandist_warp_PC3_oriLDLD,Spread_of_Shift
varmx_meandist_warp_PC1_velSDLD,Spread_of_Shift
varmx_meandist_warp_PC2_velSDLD,Spread_of_Shift
varmx_meandist_warp_PC3_velSDLD,Spread_of_Shift
varmx_meandist_warp_PC1_velSDSD,Spread_of_Shift
varmx_meandist_warp_PC2_velSDSD,Spread_of_Shift
varmx_meandist_warp_PC3_velSDSD,Spread_of_Shift
varmx_meandist_warp_PC1_velLDLD,Spread_of_Shift
varmx_meandist_warp_PC2_velLDLD,Spread_of_Shift
varmx_meandist_warp_PC3_velLDLD,Spread_of_Shift
varmx_meandist_warp_PC1_accSDLD,Spread_of_Shift
varmx_meandist_warp_PC2_accSDLD,Spread_of_Shift
varmx_meandist_warp_PC3_accSDLD,Spread_of_Shift
varmx_meandist_warp_PC1_accSDSD,Spread_of_Shift
varmx_meandist_warp_PC2_accSDSD,Spread_of_Shift
varmx_meandist_warp_PC3_accSDSD,Spread_of_Shift
varmx_meandist_warp_PC1_accLDLD,Spread_of_Shift
varmx_meandist_warp_PC2_accLDLD,Spread_of_Shift
varmx_meandist_warp_PC3_accLDLD,Spread_of_Shift
varmx_sedist_warp_PC1_oriSDLD,Spread_of_Shift
varmx_sedist_warp_PC2_oriSDLD,Spread_of_Shift
varmx_sedist_warp_PC3_oriSDLD,Spread_of_Shift
varmx_sedist_warp_PC1_oriSDSD,Spread_of_Shift
varmx_sedist_warp_PC2_oriSDSD,Spread_of_Shift
varmx_sedist_warp_PC3_oriSDSD,Spread_of_Shift
varmx_sedist_warp_PC1_oriLDLD,Spread_of_Shift
varmx_sedist_warp_PC2_oriLDLD,Spread_of_Shift
varmx_sedist_warp_PC3_oriLDLD,Spread_of_Shift
varmx_sedist_warp_PC1_velSDLD,Spread_of_Shift
varmx_sedist_warp_PC2_velSDLD,Spread_of_Shift
varmx_sedist_warp_PC3_velSDLD,Spread_of_Shift
varmx_sedist_warp_PC1_velSDSD,Spread_of_Shift
varmx_sedist_warp_PC2_velSDSD,Spread_of_Shift
varmx_sedist_warp_PC3_velSDSD,Spread_of_Shift
varmx_sedist_warp_PC1_velLDLD,Spread_of_Shift
varmx_sedist_warp_PC2_velLDLD,Spread_of_Shift
varmx_sedist_warp_PC3_velLDLD,Spread_of_Shift
varmx_sedist_warp_PC1_accSDLD,Spread_of_Shift
varmx_sedist_warp_PC2_accSDLD,Spread_of_Shift
varmx_sedist_warp_PC3_accSDLD,Spread_of_Shift
varmx_sedist_warp_PC1_accSDSD,Spread_of_Shift
varmx_sedist_warp_PC2_accSDSD,Spread_of_Shift
varmx_sedist_warp_PC3_accSDSD,Spread_of_Shift
varmx_sedist_warp_PC1_accLDLD,Spread_of_Shift
varmx_sedist_warp_PC2_accLDLD,Spread_of_Shift
varmx_sedist_warp_PC3_accLDLD,Spread_of_Shift
varmx_mean_eulid_ori_total123_SDLD,Spread_of_Shift
varmx_mean_eulid_ori_total123_SDSD,Spread_of_Shift
varmx_mean_eulid_ori_total123_LDLD,Spread_of_Shift
varmx_mean_eulid_vel_total123_SDLD,Spread_of_Shift
varmx_mean_eulid_vel_total123_SDSD,Spread_of_Shift
varmx_mean_eulid_vel_total123_LDLD,Spread_of_Shift
varmx_mean_eulid_acc_total123_SDLD,Spread_of_Shift
varmx_mean_eulid_acc_total123_SDSD,Spread_of_Shift
varmx_mean_eulid_acc_total123_LDLD,Spread_of_Shift
varmx_se_eulid_ori_total123_SDLD,Spread_of_Shift
varmx_se_eulid_ori_total123_SDSD,Spread_of_Shift
varmx_se_eulid_ori_total123_LDLD,Spread_of_Shift
varmx_se_eulid_vel_total123_SDLD,Spread_of_Shift
varmx_se_eulid_vel_total123_SDSD,Spread_of_Shift
varmx_se_eulid_vel_total123_LDLD,Spread_of_Shift
varmx_se_eulid_acc_total123_SDLD,Spread_of_Shift
varmx_se_eulid_acc_total123_SDSD,Spread_of_Shift
varmx_se_eulid_acc_total123_LDLD,Spread_of_Shift
FT_mean,Developmental 
FT_se,Developmental 
leaves_mean,Developmental 
leaves_se,Developmental 
weights_mean,Developmental 
weights_se,Developmental 
