Label:,WxT_58.25,WxT_58.26,WxT_58.27,WxT_58.28,WxT_58.29,WxT_58.30,WxT_58.31,WxT_58.32,WxT_58.33,WxT_58.34,WxT_58.35,WxT_58.36,WxT_58.37,WxT_58.38,WxT_58.39,WxT_58.40,WxT_58.41,WxT_58.42,WxT_58.43,WxT_58.44,WxT_58.45,WxT_58.46,WxT_58.47,WxT_58.48,WxT_59.25,WxT_59.26,WxT_59.27,WxT_59.28,WxT_59.29,WxT_59.30,WxT_59.31,WxT_59.32,WxT_59.33,WxT_59.34,WxT_59.35,WxT_59.36,WxT_59.37,WxT_59.38,WxT_59.39,WxT_59.40,WxT_59.41,WxT_59.42,WxT_59.43,WxT_59.44,WxT_59.45,WxT_59.46,WxT_59.47,WxT_59.48,WxT_61.25,WxT_61.26,WxT_61.27,WxT_61.28,WxT_61.29,WxT_61.30,WxT_61.31,WxT_61.32,WxT_61.33,WxT_61.34,WxT_61.35,WxT_61.36,WxT_61.37,WxT_61.38,WxT_61.39,WxT_61.40,WxT_61.41,WxT_61.42,WxT_61.43,WxT_61.44,WxT_61.45,WxT_61.46,WxT_61.47,WxT_61.48,WxT_62.25,WxT_62.26,WxT_62.27,WxT_62.28,WxT_62.29,WxT_62.30,WxT_62.31,WxT_62.32,WxT_62.33,WxT_62.34,WxT_62.35,WxT_62.36,WxT_62.37,WxT_62.38,WxT_62.39,WxT_62.40,WxT_62.41,WxT_62.42,WxT_62.43,WxT_62.44,WxT_62.45,WxT_62.46,WxT_62.47,WxT_62.48
2.543333333,421.5255671,,1607.582991,,910.2532465,,978.3995056,,453.5092699,,3604.021541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.545277778,,,,,,,,,,,,,1109.353663,,1665.056605,,1872.05009,,909.7455152,,627.6026506,,885.511061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.547222222,,,,,,,,,,,,,,,,,,,,,,,,,727.4673831,,3867.588235,,4305.326694,,808.8231383,,747.4231659,,1823.075215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.549166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.8559522,,3467.393355,,1189.837767,,740.6412438,,3113.540755,,752.6468307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.551111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.773351,,7718.087814,,1759.346135,,1237.71744,,393.9320868,,1397.862302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.553055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.7911273,,6203.509316,,834.4406678,,2128.812533,,831.9540858,,557.3635038,,,,,,,,,,,,,,,,,,,,,,,,,
2.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.2817104,,1384.458656,,2618.159584,,2171.66774,,1397.028387,,913.1975178,,,,,,,,,,,,,
2.556944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.1844514,,5031.049384,,1298.921212,,1797.076065,,3815.338184,,657.0864855,
2.559166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.3587279,,963.3777083,,3032.95329,,635.880776,,-13.47104108,,1920.86726
2.561111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.211915,,916.1775454,,885.9046992,,950.7551282,,1134.34519,,2230.332103,,,,,,,,,,,,
2.563055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.932995,,2199.490682,,4481.940723,,306.3896261,,1861.898713,,643.6679113,,,,,,,,,,,,,,,,,,,,,,,,
2.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.2638561,,4043.306344,,2931.175123,,856.5156331,,830.9980931,,370.7013992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.567222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.5036069,,5249.07727,,1246.132441,,1232.737813,,1615.933218,,1582.235531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.569166667,,,,,,,,,,,,,,,,,,,,,,,,,,835.173951,,2246.414184,,1082.090519,,1028.100812,,1201.396744,,2713.913625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.571111111,,,,,,,,,,,,,,1282.192712,,833.1956727,,1262.506749,,3252.681227,,1057.770031,,313.298505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
