Genotype ,Days to flower ,Leaf no,weight
WT50,36,19,0.0157
WT50,35,19,0.0119
WT50,34,16,0.009
WT50,31,17,0.0138
WT50,34,18,0.0174
WT50,31,16,0.0132
WT50,35,17,0.0176
WT50,36,18,0.0186
WT50,28,12,0.0084
WT50,32,17,0.0145
WT50,34,18,0.0144
WT50,41,19,0.0263
WT50,29,14,0.0106
WT50,NA,NA,0.0107
WT50,30,15,0.0114
WT50,36,15,0.0128
WT50,31,17,0.0169
WT50,NA,NA,0.0357
WT50,28,17,0.0161
WT50,30,16,0.0201
WT51,38,22,0.0296
WT51,41,19,
WT51,34,12,0.01179
WT51,44,46,0.0827
WT51,34,13,0.0065
WT51,35,17,0.0174
WT51,35,20,0.0224
WT51,36,16,0.0196
WT51,34,11,0.007
WT51,31,13,0.0092
WT51,31,15,0.0157
WT51,NA,NA,
WT51,31,14,0.0132
WT51,37,22,0.0362
WT51,33,16,0.0146
WT51,33,14,0.0186
WT51,34,18,0.0232
WT51,32,17,0.0261
WT51,36,19,0.0207
WT51,NA,NA,0.0181
WT26,34,18,0.026
WT26,34,17,0.0218
WT26,32,20,0.0295
WT26,32,21,0.0309
WT26,36,23,0.0234
WT26,34,21,0.0325
WT26,34,18,0.0314
WT26,34,19,0.0264
WT26,34,23,0.0319
WT26,35,36,0.0336
WT26,32,22,0.0296
WT26,NA,NA,
WT26,,18,0.0262
WT26,35,25,0.0318
WT26,35,30,0.0326
WT26,34,26,0.0157
WT26,36,20,0.0194
WT26,33,19,0.0316
WT26,31,19,0.034
WT26,34,18,0.0278
WT27,27,12,0.0106
WT27,24,11,0.0054
WT27,29,14,0.0141
WT27,28,13,0.0123
WT27,29,15,0.0211
WT27,24,11,0.006
WT27,26,13,0.0093
WT27,26,12,0.0079
WT27,26,14,0.0103
WT27,26,12,0.0095
WT27,24,11,0.0058
WT27,25,12,0.0087
WT27,27,13,0.0111
WT27,24,12,0.0057
WT27,26,12,0.0085
WT27,26,13,0.0101
