Genotype ,Days to flower ,Leaf no,weight
WT27,28,16,0.0163
WT27,28,14,0.0155
WT27,24,12,0.0056
WT27,26,12,0.0095
WT1,33,17,0.018
WT1,27,15,0.0116
WT1,29,16,0.0167
WT1,26,14,0.0092
WT1,31,17,0.021
WT1,31,16,0.0158
WT1,33,18,0.0234
WT1,27,15,0.0098
WT1,29,16,0.0169
WT1,31,17,0.0166
WT1,29,15,0.0174
WT1,28,16,0.0147
WT1,29,16,0.0156
WT1,29,15,0.0152
WT1,29,16,0.0157
WT1,32,17,0.0171
WT1,27,14,0.0097
WT1,32,18,0.0164
WT1,27,15,0.0101
WT1,31,18,0.0206
WT2,35,33,0.0376
WT2,37,36,0.0429
WT2,39,33,0.0982
WT2,34,19,0.0364
WT2,35,23,0.0424
WT2,NA,NA,0.0399
WT2,NA,NA,
WT2,27,15,0.0135
WT2,36,40,0.0435
WT2,31,22,0.0323
WT2,35,42,0.0484
WT2,34,22,0.0406
WT2,35,22,0.0216
WT2,33,23,0.0405
WT2,36,34,0.0334
WT2,34,21,0.0354
WT2,32,23,0.0351
WT2,33,25,0.0369
WT2,33,22,0.0359
WT2,34,22,0.044
WT28,30,16,0.0121
WT28,30,19,0.0195
WT28,30,23,0.0239
WT28,28,18,0.0156
WT28,31,17,0.019
WT28,36,28,0.0275
WT28,33,22,0.0258
WT28,30,22,0.0232
WT28,NA,NA,
WT28,33,19,0.0172
WT28,32,19,0.0246
WT28,30,20,0.0196
WT28,29,18,0.0197
WT28,32,22,0.0236
WT28,32,18,0.0203
WT28,32,21,0.0183
WT28,36,32,0.0333
WT28,31,17,0.0221
WT28,31,20,0.023
WT28,27,16,0.0105
WT29,24,12,0.0071
WT29,24,12,0.0066
WT29,24,13,0.007
WT29,29,17,0.0166
WT29,24,12,0.008
WT29,27,14,0.0124
WT29,29,17,0.0216
WT29,29,17,0.0253
WT29,24,13,0.0078
WT29,28,15,0.0158
WT29,27,13,0.0122
WT29,26,13,0.0114
WT29,29,16,0.0206
WT29,26,14,0.0124
WT29,26,13,0.0122
WT29,26,13,0.0121
WT29,29,15,0.0142
WT29,26,13,0.0099
WT29,26,14,0.0134
WT29,26,14,0.0114
WT64,40,23,0.0346
WT64,36,24,0.028
WT64,37,31,0.0431
WT64,NA,NA,0.0374
WT64,NA,NA,0.0413
WT64,40,30,0.0458
WT64,38,18,0.0162
WT64,39,38,0.0514
WT64,40,28,0.0322
WT64,37,40,0.049
WT64,34,28,0.0458
WT64,37,20,0.0314
WT64,33,22,0.0307
WT64,37,18,0.0142
WT64,33,21,0.0232
WT64,36,26,0.0224
WT64,27,12,0.0063
WT64,36,31,0.0357
WT64,36,29,0.0298
WT64,36,32,0.032
WT65,31,17,0.0213
WT65,35,22,0.0391
WT65,31,18,0.0229
WT65,34,27,0.0251
WT65,31,19,0.0202
WT65,34,15,0.0109
WT65,29,13,0.0081
WT65,27,13,0.0138
WT65,31,20,0.0217
WT65,29,16,0.019
WT65,35,26,0.0386
WT65,31,19,0.0281
WT65,29,13,0.0102
WT65,32,18,0.0341
WT65,34,20,0.0324
WT65,37,25,0.0378
WT65,32,20,0.0249
WT65,29,15,0.0148
WT65,32,20,0.0296
WT65,27,13,0.0123
WT30,24,12,0.0083
WT30,32,18,0.0388
WT30,27,14,0.0187
WT30,29,14,0.0161
WT30,32,25,0.0575
WT30,26,15,0.0136
WT30,27,14,0.0163
WT30,26,13,0.0158
WT30,26,12,0.0131
WT30,29,16,0.0186
WT30,29,15,0.0217
WT30,29,15,0.0147
WT30,29,15,0.0231
WT30,29,15,0.0219
WT30,31,15,0.0203
WT30,28,13,0.0123
WT30,28,15,0.0175
WT30,28,14,0.0141
WT30,29,14,0.0183
WT30,29,15,0.0184
WT31,31,20,0.0286
WT31,34,32,0.0495
WT31,34,23,0.0387
WT31,34,35,0.0598
WT31,35,36,0.059
WT31,27,17,0.0189
WT31,36,37,0.0655
WT31,33,25,0.0549
WT31,34,38,0.0818
WT31,34,31,0.0704
WT31,36,30,0.0562
WT31,34,34,0.0646
WT31,31,22,0.042
WT31,35,31,0.0634
WT31,36,41,0.0674
WT31,33,23,0.0579
WT31,31,26,0.0562
WT31,34,24,0.0467
WT31,33,24,0.0603
WT31,33,21,0.0468
WT66,36,21,0.028
WT66,34,23,0.0414
WT66,36,34,0.0757
WT66,31,20,0.0242
WT66,36,31,0.0573
WT66,37,23,0.0415
WT66,36,31,0.048
WT66,33,20,0.0289
WT66,36,23,0.0492
WT66,32,17,0.0306
WT66,37,42,0.0672
WT66,34,25,0.0294
WT66,38,25,0.062
WT66,32,17,0.0223
WT66,36,22,0.0318
WT66,33,19,0.0405
WT66,36,36,0.0668
WT66,35,23,0.0374
WT66,34,25,0.0254
WT66,37,35,0.0688
WT68,40,25,0.0808
WT68,40,26,0.0703
WT68,43,30,0.1132
WT68,39,28,0.0972
WT68,40,28,0.0985
WT68,40,25,0.0748
WT68,42,25,0.0808
WT68,39,26,0.0819
WT68,41,26,0.0913
WT68,43,27,0.1102
WT68,44,28,0.1149
WT68,41,28,0.1161
WT68,40,29,0.1165
WT68,40,29,0.1077
WT68,44,26,0.1172
WT68,42,26,0.0687
WT68,41,27,0.0866
WT68,42,24,0.0725
WT68,41,26,0.0943
WT68,40,25,0.0848
WT34,22,8,0.0016
WT34,22,8,0.0026
WT34,25,9,0.0043
WT34,22,8,0.0026
WT34,25,10,0.0051
WT34,28,12,0.0104
WT34,24,8,0.0024
WT34,25,10,0.0071
WT34,NA,NA,
WT34,22,8,0.0015
WT34,22,8,0.0021
WT34,24,10,0.0048
WT34,22,8,0.002
WT34,22,8,0.0014
WT34,24,10,0.0039
WT34,NA,NA,
WT34,22,8,0.0022
WT34,24,10,0.0042
WT34,24,10,0.0042
WT34,22,9,0.0025
WT35,36,24,0.037
WT35,40,41,0.0561
WT35,41,28,0.0815
WT35,36,22,0.0311
WT35,37,25,0.0323
WT35,35,27,0.0187
WT35,41,28,0.0604
WT35,39,24,0.033
WT35,39,30,0.0616
WT35,37,23,0.0324
WT35,37,34,0.0725
WT35,35,33,0.0312
WT35,36,28,0.0359
WT35,40,30,0.0676
WT35,38,28,0.0568
WT35,35,23,0.0356
WT35,41,27,0.0663
WT35,37,32,0.0463
WT35,35,22,0.0311
WT35,NA,NA,0.0711
WT69,28,18,0.0172
WT69,29,27,0.0183
WT69,28,18,0.017
WT69,28,20,0.0161
WT69,29,19,0.0134
WT69,29,24,0.0262
WT69,26,19,0.0179
WT69,31,16,0.0198
WT69,26,20,0.0189
WT69,29,24,0.0141
WT69,29,24,0.0279
WT69,28,22,0.0178
WT69,28,20,0.018
WT69,27,16,0.0153
WT69,28,24,0.018
WT69,28,22,0.0187
WT69,28,20,0.0193
WT69,31,27,0.0226
WT69,29,27,0.0213
WT69,28,21,0.017
WT71,31,19,0.0329
WT71,28,18,0.0237
WT71,31,17,0.0218
WT71,29,26,0.027
WT71,29,20,0.0238
WT71,28,16,0.016
WT71,32,32,0.0333
WT71,29,22,0.015
WT71,29,20,0.0219
WT71,31,23,0.0319
WT71,30,20,0.0218
WT71,29,23,0.0251
WT71,29,17,0.0211
WT71,28,19,0.0222
WT71,28,16,0.0171
WT71,29,23,0.0264
WT71,28,18,0.0221
WT71,29,22,0.0328
WT71,29,24,0.0275
WT71,29,22,0.0246
WT41,38,15,0.0154
WT41,NA,NA,
WT41,40,18,0.0332
WT41,40,16,0.0232
WT41,NA,NA,0.0044
WT41,35,18,0.0226
WT41,35,19,0.0208
WT41,36,17,0.0176
WT41,NA,NA,0.0063
WT41,34,15,0.0138
WT41,27,13,0.01
WT41,36,19,0.0257
WT41,31,14,0.0184
WT41,34,17,0.0162
WT41,NA,NA,
WT41,NA,NA,
WT41,33,15,0.0241
WT41,34,21,0.0337
WT41,32,16,0.0262
WT41,36,17,0.027
WT42,32,13,0.014
WT42,29,14,0.013
WT42,29,14,0.0131
WT42,34,28,0.0262
WT42,30,16,0.0138
WT42,30,15,0.0127
WT42,NA,NA,0.0481
WT42,32,14,0.0181
WT42,36,20,0.0289
WT42,32,14,0.0164
WT42,30,16,0.016
WT42,29,14,0.0123
WT42,27,13,0.0126
WT42,30,19,0.0186
WT42,33,14,0.0198
WT42,30,17,0.0134
WT42,30,15,
WT42,27,14,0.0156
WT42,28,14,0.0094
WT42,29,14,0.0173
WT76,21,10,0.0028
WT76,20,7,0.0015
WT76,21,9,0.0017
WT76,20,9,0.0025
WT76,21,8,0.0012
WT76,20,8,0.001
WT76,20,8,0.0024
WT76,20,9,0.0024
WT76,20,9,0.002
WT76,20,8,0.0013
WT76,26,12,0.0042
WT76,20,9,0.0011
WT76,20,8,0.0016
WT76,23,11,0.0038
WT76,NA,NA,
WT76,23,9,0.0024
WT76,20,8,0.0017
WT76,20,8,0.0023
WT76,23,8,0.0025
WT76,20,9,0.0018
WT77,20,9,0.0029
WT77,20,9,0.0042
WT77,20,9,0.0042
WT77,20,10,0.0045
WT77,20,9,0.0033
WT77,21,10,0.0033
WT77,21,9,0.0025
WT77,21,10,0.004
WT77,20,9,0.0015
WT77,20,9,0.0028
WT77,20,9,0.0029
WT77,20,10,0.0047
WT77,20,9,0.0023
WT77,20,10,0.0024
WT77,20,9,0.0031
WT77,20,9,0.0035
WT77,20,11,0.003
WT77,20,10,0.0035
WT77,20,10,0.0045
WT77,21,10,0.0027
WT5,30,24,0.0242
WT5,31,25,0.0276
WT5,27,16,0.0206
WT5,26,18,0.0214
WT5,26,20,0.02
WT5,26,17,0.0136
WT5,29,30,0.0321
WT5,28,23,0.022
WT5,31,26,0.0371
WT5,29,28,0.029
WT5,29,28,0.0226
WT5,27,18,0.0199
WT5,26,20,0.0184
WT5,28,28,0.0236
WT5,29,24,0.0222
WT5,23,14,0.0115
WT5,28,24,0.0262
WT5,21,11,0.005
WT5,26,21,0.03
WT5,26,20,0.0215
WT6,28,15,0.0189
WT6,29,21,0.0207
WT6,29,21,0.0178
WT6,28,15,0.0155
WT6,NA,NA,0.0724
WT6,27,15,0.0149
WT6,28,14,0.0087
WT6,27,17,0.0183
WT6,31,26,0.0314
WT6,29,25,0.0287
WT6,NA,NA,0.113
WT6,28,20,0.0192
WT6,26,18,0.0223
WT6,28,19,0.0184
WT6,28,21,0.0256
WT6,28,23,0.0228
WT6,29,23,0.0217
WT6,28,21,0.0157
WT6,32,38,0.0582
WT6,27,18,0.0165
WT24,20,10,0.0024
WT24,20,10,0.0022
WT24,20,10,0.004
WT24,20,10,0.0028
WT24,20,10,0.0028
WT24,20,9,0.0022
WT24,20,9,0.0021
WT24,20,8,0.003
WT24,20,10,0.002
WT24,20,9,0.0021
WT24,20,9,0.0025
WT24,20,9,0.0017
WT24,20,10,0.0024
WT24,20,9,0.0018
WT24,20,9,0.0022
WT24,20,9,0.0027
WT24,20,10,0.0035
WT24,20,10,0.0031
WT24,20,9,0.0033
WT24,20,8,0.0031
WT25,29,20,0.0161
WT25,32,24,0.0307
WT25,28,18,0.0191
WT25,29,22,0.0207
WT25,31,20,0.0239
WT25,32,18,0.0201
WT25,29,18,0.0197
WT25,29,18,0.0191
WT25,32,21,0.0332
WT25,29,26,0.0257
WT25,35,33,0.0265
WT25,30,19,0.0225
WT25,NA,NA,0.0541
WT25,34,39,0.0348
WT25,30,24,0.0223
WT25,33,22,0.0381
WT25,31,18,0.0199
WT25,30,20,0.0194
WT25,NA,NA,
WT25,30,22,0.0199
WT52,34,29,0.0418
WT52,32,22,0.0365
WT52,32,19,0.0432
WT52,33,20,0.0395
WT52,34,22,0.03
WT52,33,20,0.0379
WT52,34,27,0.0394
WT52,32,19,0.034
WT52,31,20,0.0312
WT52,34,24,0.0366
WT52,34,23,0.0325
WT52,36,28,0.044
WT52,36,25,0.0331
WT52,32,23,0.0349
WT52,35,30,0.0288
WT52,35,26,0.0322
WT52,34,26,0.0443
WT52,36,31,0.0396
WT52,33,22,0.0433
WT52,35,25,0.0294
WT54,21,8,0.001
WT54,20,10,0.0023
WT54,20,11,0.002
WT54,20,8,0.0016
WT54,20,10,0.0022
WT54,20,10,0.004
WT54,NA,NA,
WT54,20,10,0.0029
WT54,20,9,0.0017
WT54,20,9,0.0015
WT54,20,10,0.0023
WT54,22,10,0.0021
WT54,20,10,0.0035
WT54,22,9,0.0013
WT54,20,10,0.003
WT54,21,8,0.0005
WT54,21,9,0.001
WT54,20,10,0.0021
WT54,21,8,0.0006
WT54,23,11,0.0046
WT13,21,8,0.0023
WT13,29,19,0.0153
WT13,21,9,0.0036
WT13,31,24,0.0242
WT13,29,20,0.018
WT13,25,13,0.0109
WT13,21,9,0.0032
WT13,21,9,0.0041
WT13,26,15,0.008
WT13,32,16,0.024
WT13,23,10,0.0064
WT13,28,13,0.0105
WT13,27,19,0.0161
WT13,33,23,0.0316
WT13,21,10,0.0034
WT13,NA,NA,0.0297
WT13,31,21,0.0293
WT13,31,18,0.0233
WT13,26,13,0.0106
WT13,28,15,0.0156
WT14,21,8,0.0039
WT14,21,9,0.0032
WT14,21,8,0.0024
WT14,25,10,0.0045
WT14,21,8,0.0022
WT14,23,9,0.0032
WT14,24,10,0.005
WT14,23,9,0.0029
WT14,23,9,0.0045
WT14,21,8,0.0021
WT14,24,9,0.0033
WT14,21,9,0.003
WT14,21,9,0.0031
WT14,23,9,0.005
WT14,23,10,0.004
WT14,23,10,0.0036
WT14,25,10,0.005
WT14,23,10,0.0045
WT14,21,8,0.0028
WT14,22,9,0.0026
WT11,31,21,0.0199
WT11,29,16,0.0123
WT11,29,18,0.0193
WT11,29,21,0.0179
WT11,31,21,0.0239
WT11,26,16,0.012
WT11,31,21,0.0222
WT11,29,20,0.0161
WT11,28,19,0.0151
WT11,27,19,0.0163
WT11,27,18,0.0142
WT11,28,21,0.0183
WT11,29,23,0.0194
WT11,28,18,0.0186
WT11,31,24,0.0274
WT11,28,17,0.0162
WT11,26,15,0.0102
WT11,27,19,0.0127
WT11,28,22,0.014
WT11,28,20,0.0176
WT12,23,11,0.005
WT12,26,19,0.0128
WT12,23,11,0.0042
WT12,23,12,0.0065
WT12,26,15,0.0127
WT12,29,22,0.015
WT12,28,17,0.0145
WT12,23,13,0.0078
WT12,28,19,0.0152
WT12,29,20,0.0197
WT12,26,13,0.0088
WT12,26,17,0.0122
WT12,26,13,0.0111
WT12,26,13,0.0067
WT12,25,12,0.003
WT12,28,17,0.0172
WT12,26,17,0.0128
WT12,30,25,0.02
WT12,28,22,0.0136
WT12,27,17,0.0094
WT19,23,10,0.0055
WT19,23,12,0.0064
WT19,24,15,0.0076
WT19,23,12,0.0073
WT19,23,12,0.0059
WT19,24,11,0.0061
WT19,23,12,0.0075
WT19,24,13,0.0074
WT19,23,12,0.0058
WT19,23,12,0.007
WT19,22,10,0.0035
WT19,24,14,0.0092
WT19,26,18,0.0117
WT19,28,21,0.0122
WT19,24,11,0.0042
WT19,24,13,0.0051
WT19,25,13,0.0055
WT19,25,11,0.0037
WT19,25,12,0.048
WT19,20,10,0.0027
WT21,20,9,0.002
WT21,20,9,0.001
WT21,20,9,0.0015
WT21,20,9,0.0029
WT21,20,9,0.0018
WT21,20,9,0.0009
WT21,20,9,0.002
WT21,25,12,0.005
WT21,20,9,0.0029
WT21,20,8,0.006
WT21,20,10,0.0023
WT21,22,9,0.0022
WT21,20,9,0.0017
WT21,20,9,0.0012
WT21,20,8,0.0017
WT21,20,8,0.0016
WT21,20,8,0.0012
WT21,23,8,0.0013
WT21,20,9,0.0015
WT21,20,9,0.0016
WT48,26,15,0.0151
WT48,26,16,0.0175
WT48,23,13,0.0077
WT48,26,15,0.0152
WT48,23,13,0.0078
WT48,26,15,0.0142
WT48,27,17,0.0208
WT48,27,17,0.0182
WT48,26,16,0.0189
WT48,26,16,0.016
WT48,26,16,0.0181
WT48,27,13,0.0099
WT48,26,15,0.0181
WT48,28,18,0.0231
WT48,23,14,0.0111
WT48,24,15,0.0111
WT48,27,18,0.024
WT48,26,17,0.0163
WT48,27,17,0.0158
WT48,27,16,0.0144
WT49,36,25,0.0218
WT49,32,20,0.0238
WT49,30,18,0.0177
WT49,30,19,0.0201
WT49,33,17,0.0169
WT49,NA,NA,0.0286
WT49,35,21,0.0237
WT49,28,11,0.0046
WT49,32,22,0.0307
WT49,28,17,0.0194
WT49,31,19,0.0236
WT49,32,17,0.0171
WT49,30,12,0.0088
WT49,32,18,0.0273
WT49,30,17,0.0178
WT49,32,17,0.0174
WT49,31,13,0.0115
WT49,33,19,0.0217
WT49,35,23,0.0194
WT49,35,19,0.0145
WT3,20,9,0.0024
WT3,20,9,0.0028
WT3,20,10,0.0044
WT3,20,10,0.0051
WT3,20,10,0.005
WT3,20,10,0.0024
WT3,20,9,0.0026
WT3,NA,NA,
WT3,20,9,0.0023
WT3,20,10,0.0045
WT3,20,10,0.0034
WT3,20,10,0.0032
WT3,20,10,0.0054
WT3,20,9,0.0025
WT3,20,10,0.0044
WT3,20,10,0.0046
WT3,20,11,0.0051
WT3,20,9,0.0032
WT3,20,10,0.005
WT3,20,10,0.0045
WT4,27,14,0.0093
WT4,30,20,0.0164
WT4,26,18,0.0131
WT4,25,12,0.0041
WT4,NA,NA,0.0142
WT4,27,15,0.0097
WT4,24,12,0.0067
WT4,24,13,0.008
WT4,27,19,0.0158
WT4,24,14,0.0081
WT4,23,12,0.0065
WT4,26,17,0.0119
WT4,27,18,0.0102
WT4,24,12,0.0064
WT4,23,12,0.0046
WT4,26,16,0.0142
WT4,27,24,0.0153
WT4,23,12,0.0065
WT4,27,15,0.0112
WT4,26,16,0.0121
WT36,37,24,0.0266
WT36,33,20,0.0294
WT36,37,32,0.0362
WT36,36,17,0.0189
WT36,33,19,0.028
WT36,37,23,0.0215
WT36,39,24,0.0345
WT36,37,24,0.0226
WT36,33,23,0.0297
WT36,36,30,0.0036
WT36,36,28,0.0315
WT36,38,36,0.0443
WT36,35,28,0.0376
WT36,37,29,0.0389
WT36,35,30,0.0281
WT36,37,21,0.0212
WT36,35,23,0.0364
WT36,36,26,0.0345
WT36,37,28,0.0361
WT36,37,23,0.0294
WT38,34,15,0.0185
WT38,38,14,0.0167
WT38,35,15,0.0114
WT38,34,14,0.012
WT38,33,15,0.0143
WT38,35,16,0.0147
WT38,30,13,0.0064
WT38,35,16,0.0139
WT38,32,15,0.0157
WT38,36,16,0.0195
WT38,36,16,0.0157
WT38,36,16,0.0135
WT38,33,14,0.0166
WT38,33,15,0.0149
WT38,36,17,0.0168
WT38,37,16,0.0216
WT38,33,14,0.021
WT38,35,17,0.0136
WT38,37,18,0.0194
WT38,36,17,0.013
WT62,35,30,0.0286
WT62,20,10,0.001
WT62,20,9,0.0019
WT62,20,9,0.003
WT62,31,17,0.0196
WT62,30,24,0.021
WT62,32,15,0.0173
WT62,20,8,0.0019
WT62,31,19,0.0232
WT62,31,17,0.0219
WT62,30,25,0.0206
WT62,29,15,0.0107
WT62,29,19,0.0183
WT62,31,18,0.0262
WT62,30,20,0.0209
WT62,35,30,0.0264
WT62,29,19,0.0225
WT62,NA,NA,
WT62,33,19,0.029
WT62,33,20,0.0275
WT63,21,9,0.0026
WT63,20,10,0.0035
WT63,21,9,0.003
WT63,20,9,0.0022
WT63,20,9,0.0021
WT63,20,11,0.0038
WT63,20,9,0.0023
WT63,20,9,0.0018
WT63,20,9,0.002
WT63,20,9,0.002
WT63,20,9,0.0018
WT63,25,11,0.004
WT63,20,9,0.0018
WT63,20,8,0.0015
WT63,20,8,0.0025
WT63,21,9,0.0026
WT63,22,9,0.0023
WT63,20,9,0.0027
WT63,20,9,0.0027
WT63,21,9,0.0019
WT78,35,25,0.0359
WT78,37,41,0.0512
WT78,36,33,0.0435
WT78,38,31,0.0446
WT78,36,35,0.0486
WT78,35,25,0.0319
WT78,36,31,0.0441
WT78,37,27,0.0448
WT78,36,32,0.0394
WT78,38,27,0.0412
WT78,36,32,0.0438
WT78,35,24,0.0318
WT78,34,23,0.0415
WT78,37,33,0.0512
WT78,36,33,0.0421
WT78,37,26,0.0414
WT78,33,18,0.0431
WT78,38,38,0.0525
WT78,37,26,0.0443
WT78,36,21,0.0218
WT46,26,14,0.0095
WT46,29,14,0.008
WT46,26,12,0.0075
WT46,26,13,0.0062
WT46,23,12,0.0058
WT46,23,9,0.0023
WT46,21,8,0.0019
WT46,NA,NA,
WT46,27,12,0.0061
WT46,22,10,0.0024
WT46,25,11,0.0035
WT46,27,11,0.0053
WT46,28,14,0.0089
WT46,30,15,0.0089
WT46,26,12,0.0048
WT46,26,13,0.0069
WT46,22,10,0.0022
WT46,32,18,0.0121
WT46,26,11,0.0053
WT46,22,11,0.0035
WT47,NA,NA,
WT47,38,16,0.0067
WT47,35,16,0.01
WT47,40,21,0.0249
WT47,32,13,0.0147
WT47,NA,NA,0.0204
WT47,32,14,0.0113
WT47,NA,NA,
WT47,NA,NA,
WT47,36,12,0.0045
WT47,NA,NA,0.033
WT47,42,20,0.0247
WT47,NA,NA,0.0036
WT47,36,12,0.0073
WT47,NA,NA,
WT47,40,16,0.0144
WT47,NA,NA,0.0097
WT47,35,15,0.0097
WT47,NA,NA,
WT47,33,13,0.0088
WT59,34,24,0.0273
WT59,32,17,0.0235
WT59,31,17,0.0191
WT59,34,13,0.0106
WT59,33,15,0.0155
WT59,32,17,0.0146
WT59,35,23,0.017
WT59,32,18,0.028
WT59,28,14,0.0094
WT59,34,27,0.0283
WT59,35,26,0.0248
WT59,33,21,0.0276
WT59,32,24,0.0292
WT59,34,20,0.0212
WT59,34,26,0.0235
WT59,36,20,0.019
WT59,35,23,0.0264
WT59,28,15,0.0076
WT59,34,28,0.0347
WT59,31,18,0.0253
WT61,40,22,0.0416
WT61,39,22,0.0473
WT61,39,24,0.0324
WT61,41,24,0.0432
WT61,43,23,0.0458
WT61,43,26,0.0746
WT61,42,26,0.0452
WT61,40,23,0.0286
WT61,39,25,0.0527
WT61,42,24,0.0478
WT61,39,24,0.048
WT61,42,24,0.0525
WT61,39,22,0.0412
WT61,42,26,0.05
WT61,41,24,0.0402
WT61,41,27,0.0511
WT61,41,25,0.0554
WT61,42,25,0.0437
WT61,42,27,0.0523
WT61,42,25,0.0455
WT44,38,30,0.0743
WT44,35,24,0.0458
WT44,34,25,0.0608
WT44,33,22,0.055
WT44,34,25,0.0485
WT44,38,33,0.0773
WT44,35,25,0.0543
WT44,35,21,0.0358
WT44,35,22,0.0306
WT44,33,22,0.0512
WT44,33,23,0.0306
WT44,33,24,0.057
WT44,38,26,0.0707
WT44,36,24,0.049
WT44,38,34,0.0898
WT44,34,24,0.0433
WT44,38,28,0.0803
WT44,34,24,0.0477
WT44,38,28,0.0717
WT44,33,23,0.0555
WT45,29,13,0.0129
WT45,28,13,0.0122
WT45,28,13,0.0083
WT45,25,11,0.0094
WT45,28,13,0.0134
WT45,25,12,0.0088
WT45,27,14,0.0129
WT45,25,12,0.0101
WT45,27,13,0.0112
WT45,31,17,0.0291
WT45,27,13,0.0117
WT45,27,14,0.0143
WT45,32,17,0.0338
WT45,26,12,0.0093
WT45,26,12,0.0099
WT45,25,12,0.0096
WT45,27,14,0.0133
WT45,26,13,0.0114
WT45,25,11,0.0065
WT45,29,17,0.0194
WT15,33,20,0.0355
WT15,28,15,0.0105
WT15,33,15,0.0275
WT15,29,19,0.0215
WT15,NA,NA,0.0421
WT15,38,24,0.0557
WT15,28,16,0.0176
WT15,28,17,0.0217
WT15,34,21,0.0426
WT15,37,21,0.0359
WT15,28,14,0.0137
WT15,36,25,0.0441
WT15,35,22,0.0393
WT15,36,24,0.0409
WT15,39,24,0.0599
WT15,28,15,0.0167
WT15,31,16,0.0168
WT15,29,14,0.012
WT15,33,17,0.0268
WT15,NA,NA,0.0547
WT16,26,15,0.014
WT16,32,19,0.0364
WT16,30,19,0.0181
WT16,28,14,0.0146
WT16,NA,NA,
WT16,23,11,0.0064
WT16,31,18,0.0317
WT16,22,10,0.0057
WT16,30,19,0.0204
WT16,22,10,0.0048
WT16,30,19,0.0331
WT16,23,11,0.004
WT16,23,11,0.0067
WT16,30,21,0.0293
WT16,33,18,0.034
WT16,22,9,0.005
WT16,30,16,0.0219
WT16,26,14,0.0103
WT16,30,17,0.0173
WT16,23,11,0.005
WT17,26,11,0.0075
WT17,29,15,0.0135
WT17,31,14,0.0147
WT17,26,13,0.0095
WT17,31,17,0.0166
WT17,31,19,0.0205
WT17,26,12,0.0095
WT17,28,19,0.0167
WT17,28,16,0.0123
WT17,26,13,0.0118
WT17,26,14,0.0132
WT17,26,12,0.0099
WT17,31,25,0.0232
WT17,23,12,0.0065
WT17,23,12,0.0064
WT17,27,20,0.0132
WT17,28,13,0.011
WT17,25,16,0.01
WT17,25,14,0.0102
WT17,29,18,0.0153
WT18,20,9,0.00026
WT18,20,9,0.004
WT18,20,9,0.0039
WT18,23,11,0.0053
WT18,22,12,0.0063
WT18,22,13,0.0074
WT18,20,11,0.0052
WT18,21,10,0.0044
WT18,20,11,0.0042
WT18,24,13,0.0083
WT18,20,11,0.0038
WT18,20,11,0.0035
WT18,20,10,0.0043
WT18,20,10,0.0049
WT18,23,11,0.0087
WT18,20,11,0.0031
WT18,20,10,0.0047
WT18,20,10,0.0032
WT18,23,12,0.0078
WT18,20,10,0.004
WS-2,24,14,0.013
WS-2,22,12,0.0075
WS-2,23,13,0.0087
WS-2,24,13,0.0083
WS-2,23,14,0.0108
WS-2,23,12,0.0082
WS-2,24,13,0.0104
WS-2,22,12,0.0079
WS-2,23,13,0.0111
WS-2,24,14,0.0114
WS-2,24,14,0.0114
WS-2,26,16,0.0154
WS-2,22,12,0.0066
WS-2,26,21,0.0147
WS-2,23,13,0.0082
WS-2,24,14,0.0114
WS-2,23,13,0.0085
WS-2,25,14,0.0127
WS-2,26,17,0.0206
WS-2,22,12,0.0051
TNZ-1,41,19,0.0306
